"requestYear","P20average","restaverage","gap"
"2015","1.80355638484527","18.366368654507","16.5628122696617"
"2013","1.71878447026955","17.7228478231916","16.004063352922"
"2012","1.62800719470685","17.3476561646448","15.7196489699379"
"2011","1.57610766731537","17.0772933878673","15.5011857205519"
"2010","1.48142229962643","16.7971196074743","15.3156973078479"
"2008","1.39181897092396","16.4709876951932","15.0791687242693"
"2005","1.29814557854455","15.3345668102043","14.0364212316598"
"2002","1.14148929352069","14.4586388781272","13.3171495846065"
"1999","1.07123960242281","13.7093709124597","12.6381313100369"
"2030","2.49010336836631","22.7323040376763","20.24220066931"
